node_id,lat,lon
1804030188,-23.4604914,-46.6539143
1804030192,-23.4606112,-46.6655767
1804030197,-23.4606376,-46.6600069
1804030203,-23.4607906,-46.6611582
1804030208,-23.4606715,-46.6586694
1804030214,-23.4609505,-46.6575542
1804030215,-23.4610553,-46.6639666
1804030216,-23.4610246,-46.6664554
1804030219,-23.4609979,-46.6552814
1804030224,-23.4610533,-46.6605031
1804030227,-23.4611254,-46.6657966
1804030236,-23.4611919,-46.6708969
1804030238,-23.461166,-46.6670264
1804030240,-23.4610173,-46.6695497
1804030241,-23.461262,-46.6689858
1804030243,-23.4614215,-46.6539236
1804030252,-23.4613781,-46.6579342
1804030253,-23.4613762,-46.6586077
1804030254,-23.4613662,-46.6572556
1804030258,-23.4614662,-46.6706581
1804030262,-23.4614831,-46.6555466
1804030265,-23.4615038,-46.6684208
1804030269,-23.4615072,-46.6629018
1804030274,-23.4615621,-46.6581045
1804030281,-23.4617066,-46.6537591
1804030285,-23.4616397,-46.6660112
1804030294,-23.46171,-46.6582331
1804030295,-23.4616993,-46.6605476
1804030296,-23.4617319,-46.6643758
1804030303,-23.4617811,-46.6660649
1804030315,-23.4618604,-46.6537258
1804030325,-23.4618783,-46.6703376
1804030327,-23.4618602,-46.6571244
1804030332,-23.4619288,-46.6673429
1804030338,-23.4619448,-46.6599477
1804030345,-23.4620156,-46.6632104
1804030363,-23.4620665,-46.6668963
1804030376,-23.4621551,-46.6662231
1804030382,-23.4622462,-46.666258
1804030413,-23.4623544,-46.669997
1804030419,-23.4623648,-46.6594604
1804030420,-23.4623825,-46.6546317
1804030421,-23.4624332,-46.6657725
1804030424,-23.4624617,-46.6630347
1804030446,-23.4625355,-46.6643985
1804030450,-23.4627014,-46.6631303
1804030464,-23.462673,-46.6671149
1804030468,-23.4626787,-46.6586088
1804030496,-23.4627523,-46.6549699
1804030501,-23.4626637,-46.6541611
1804030503,-23.4628944,-46.6584993
1804030504,-23.4628328,-46.6542843
1804030506,-23.4628478,-46.6632088
1804030540,-23.4629754,-46.6565895
1804030548,-23.4630795,-46.654451
1804030585,-23.4633827,-46.6583508
1804030592,-23.4634701,-46.656815
1804030601,-23.4634395,-46.6675589
1804030610,-23.4635822,-46.6657363
1804030611,-23.4636117,-46.6674422
1804030621,-23.4640682,-46.6569912
1804030622,-23.4639082,-46.6664363
1804030645,-23.4644661,-46.6663264
1804030649,-23.4644605,-46.665684
1804030654,-23.4645605,-46.6567558
1804030656,-23.4647822,-46.6558235
1804059678,-23.4530376,-46.6759273
1804059693,-23.4534276,-46.6711919
1804059695,-23.4534965,-46.6759823
1804059705,-23.4537303,-46.6821474
1804059718,-23.4538078,-46.6844152
1804059730,-23.45414,-46.6760722
1804059734,-23.4541357,-46.6778733
1804059736,-23.4542958,-46.6760729
1804059741,-23.4545521,-46.6794008
1804059751,-23.4546954,-46.6771632
1804059754,-23.4547403,-46.676622
1804059759,-23.4549187,-46.6858629
1804059773,-23.455115,-46.6820093
1804059783,-23.455329,-46.6829581
1804059786,-23.4553209,-46.6760251
1804059795,-23.4555044,-46.6819033
1804059818,-23.4559829,-46.6784567
1804059820,-23.4560691,-46.6817236
1804059833,-23.4562376,-46.6801994
1804059834,-23.4562093,-46.6790159
1804059862,-23.4565772,-46.6858797
1804059864,-23.4566288,-46.6771089
1804059866,-23.4567158,-46.6765902
1804059883,-23.4570016,-46.6832625
1804059884,-23.457055,-46.6784659
1804059886,-23.4571126,-46.6853955
1804059895,-23.4573842,-46.6778263
1804059899,-23.457442,-46.6818858
1804059902,-23.4574771,-46.681226
1804059908,-23.4575739,-46.6849969
1804059912,-23.4576426,-46.6797099
1804059916,-23.4577373,-46.683573
1804059930,-23.4579268,-46.6818872
1804059932,-23.4578812,-46.6802128
1804059935,-23.4580978,-46.6754808
1804059953,-23.4581851,-46.6754137
1804059955,-23.4582011,-46.676445
1804059957,-23.4581973,-46.68133
1804059968,-23.4590168,-46.6803201
1804059972,-23.4585345,-46.6788979
1804059980,-23.4584916,-46.6759148
1804059990,-23.4587621,-46.6765114
1804059998,-23.4588119,-46.6763853
1804060001,-23.4588957,-46.6786051
1804060002,-23.4589227,-46.6788717
1804060016,-23.4589575,-46.6786285
1804060019,-23.458962,-46.6766059
1804060022,-23.4588987,-46.6873719
1804060028,-23.4590586,-46.6795423
1804060041,-23.459229,-46.677131
1804060065,-23.4595473,-46.6744495
1804060073,-23.4596486,-46.6740972
1804060076,-23.4598152,-46.6770002
1804060078,-23.4598045,-46.6750053
1804060080,-23.4599112,-46.6811657
1804060081,-23.4598881,-46.6751811
1804060094,-23.4600145,-46.6817276
1804060096,-23.4600459,-46.6755297
1804060098,-23.4600951,-46.6756685
1804060104,-23.4602142,-46.6761575
1804060107,-23.4602435,-46.6762835
1804060109,-23.4603645,-46.676856
1804060114,-23.4604344,-46.6771683
1804060115,-23.4605017,-46.6812944
1804060123,-23.4605673,-46.6843193
1804060125,-23.4606395,-46.6759957
1804060128,-23.460677,-46.6782662
1804060130,-23.4607582,-46.6786236
1804060135,-23.4607896,-46.6787202
1804060138,-23.4609649,-46.6769687
1804060139,-23.4608609,-46.6789341
1804060153,-23.461311,-46.6780038
1804060154,-23.4613069,-46.6791856
1804060156,-23.4613996,-46.6767848
1804060160,-23.4614846,-46.6756377
1804060164,-23.4617178,-46.6792204
1804060165,-23.461756,-46.6778096
1804060168,-23.4617455,-46.6732961
1804060172,-23.461834,-46.6765992
1804060176,-23.4618989,-46.6737679
1804060178,-23.4619435,-46.6754526
1804060186,-23.4618322,-46.6792305
1804060188,-23.462064,-46.6742754
1804060192,-23.4621897,-46.6776323
1804060194,-23.4622025,-46.6790937
1804060196,-23.4622177,-46.6747479
1804060197,-23.4622622,-46.673272
1804060198,-23.4622671,-46.6764356
1804060201,-23.4623889,-46.6752742
1804060206,-23.4625426,-46.6741209
1804060210,-23.4625894,-46.6787933
1804060211,-23.4626201,-46.6774681
1804060218,-23.4627259,-46.6762613
1804060219,-23.4627112,-46.6732545
1804060221,-23.462694,-46.681452
1804060223,-23.4628428,-46.6750918
1804060226,-23.4629548,-46.6739506
1804060227,-23.4629252,-46.6732438
1804060228,-23.463015,-46.678623
1804060229,-23.4631704,-46.6802717
1804060231,-23.4630753,-46.6772778
1804060233,-23.463159,-46.6760802
1804060234,-23.4632672,-46.6749215
1804060236,-23.4632869,-46.6736086
1804060242,-23.4635182,-46.6784821
1804060243,-23.4635859,-46.6759086
1804060245,-23.4636425,-46.6739492
1804060246,-23.463672,-46.6747499
1804060250,-23.4638098,-46.6724056
1804060251,-23.463918,-46.6769291
1804060252,-23.4639574,-46.6742845
1804060253,-23.4640041,-46.6757423
1804060255,-23.4641001,-46.6745567
1804060257,-23.4641641,-46.6730312
1804060258,-23.4641912,-46.6745098
1804060264,-23.4643794,-46.673457
1804060266,-23.4643953,-46.6729514
1804060268,-23.4644335,-46.6755679
1804060270,-23.4645996,-46.6738647
1804060272,-23.4647066,-46.6759998
1804060287,-23.4647583,-46.6741209
1804060298,-23.4648468,-46.6754204
1804060306,-23.4649329,-46.6734986
1804060318,-23.4650215,-46.6770968
1804060341,-23.4650658,-46.6796167
1804060356,-23.465254,-46.6785076
1804060362,-23.4652623,-46.671938
1804060365,-23.465286,-46.6781737
1804060371,-23.4653611,-46.6761526
1804060373,-23.4653475,-46.673677
1804060375,-23.4654321,-46.679477
1804060377,-23.4654619,-46.6720167
1804060409,-23.4656132,-46.674365
1804060414,-23.4656428,-46.6750516
1804060423,-23.4658371,-46.6721642
1804060425,-23.4658937,-46.6751374
1804060428,-23.4659429,-46.6774803
1804060433,-23.465989,-46.6783907
1804060435,-23.4660278,-46.6715942
1804060459,-23.4662689,-46.6723211
1804060461,-23.4662997,-46.6753037
1804060462,-23.4663143,-46.6736604
1804060463,-23.4664879,-46.6716304
1804060464,-23.4667204,-46.6754593
1804060465,-23.4666762,-46.6724765
1804060468,-23.4667192,-46.6738057
1804060479,-23.4669578,-46.6716211
1804060483,-23.4670107,-46.6761446
1804060500,-23.4671534,-46.6756551
1804060501,-23.4671215,-46.6716251
1804060502,-23.4671399,-46.6739747
1804060503,-23.4671073,-46.678853
1804060514,-23.4673035,-46.6720355
1804060526,-23.4675446,-46.675922
1804060530,-23.4675692,-46.6741464
1804060532,-23.4676,-46.6726483
1804060534,-23.4676135,-46.6774079
1804060546,-23.4678879,-46.6732411
1804060550,-23.4679112,-46.677656
1804060563,-23.4680318,-46.6743261
1804060568,-23.4681216,-46.6764906
1804060570,-23.4681523,-46.6743717
1804060575,-23.4682471,-46.6708794
1804060577,-23.4682729,-46.6728053
1804060578,-23.4683048,-46.6736159
1804060589,-23.4684045,-46.6704449
1804060593,-23.4685159,-46.6717565
1804060597,-23.4684845,-46.6745125
1804060609,-23.4685325,-46.6772825
1804060626,-23.4686682,-46.6710335
1804060632,-23.4688019,-46.6724793
1804060653,-23.4691709,-46.6735522
1804060659,-23.4692632,-46.6716653
1804060663,-23.4693739,-46.6712844
1804060673,-23.4698545,-46.6705475
1804060677,-23.4698823,-46.6708057
1804060684,-23.4699933,-46.6717193
1804086813,-23.4594207,-46.6860034
1804086815,-23.4604309,-46.686563
1804086820,-23.4605326,-46.685919
1804086831,-23.4610896,-46.6871251
1804086837,-23.4613629,-46.6841054
1804086841,-23.4615931,-46.6872874
1804086842,-23.4616418,-46.6840446
1804086856,-23.4621464,-46.6885029
1804086876,-23.4625513,-46.6852467
1804086884,-23.4626263,-46.6993994
1804086892,-23.4627825,-46.6832243
1804086898,-23.462853,-46.6845436
1804086903,-23.4629498,-46.6995925
1804086907,-23.4630666,-46.6849289
1804086910,-23.4631922,-46.6858829
1804086914,-23.4631578,-46.6822895
1804086927,-23.4633509,-46.6838694
1804086929,-23.4634333,-46.686113
1804086930,-23.4635637,-46.6967775
1804086940,-23.4635633,-46.6813257
1804086942,-23.4635619,-46.683637
